rank,atom_id,classification,dispatchable_atom,no_op_status,pair_index,tile_id,source_action_id,action_id,transform,mean_weighted_combined_equal_share,mean_weighted_pose_equal_share,mean_weighted_seg_equal_share,component_positive_votes,pose_toxic_votes,pose_positive_votes,seg_positive_votes,worst_pose_delta_vs_c102
110,pair198_tile107_src031_act031_identity,pose_toxic,False,changes_c102_action_stream_if_built,198,107,31,31,identity,-6.14136627488444e-06,-2.7505274947544863e-06,-3.3908387801299538e-06,0,1,0,0,-2.7505274947544863e-06
111,pair211_tile110_src008_act008_identity,pose_toxic,False,changes_c102_action_stream_if_built,211,110,8,8,identity,-6.266426967835047e-06,-2.8755881877050936e-06,-3.3908387801299538e-06,0,1,0,0,-2.8755881877050936e-06
112,pair517_tile113_src049_act049_identity,neutral_or_negative,False,changes_c102_action_stream_if_built,517,113,49,49,identity,-6.5620742138112125e-06,1.0673203174387875e-06,-7.62939453125e-06,0,0,1,0,0.0
113,pair482_tile089_src091_act091_identity,pose_toxic,False,changes_c102_action_stream_if_built,482,89,91,91,identity,-7.047359201363156e-06,-6.199647081011469e-06,-8.477121203516874e-07,0,2,0,0,-2.0770022691433384e-05
114,pair577_tile087_src044_act044_identity,pose_toxic,False,changes_c102_action_stream_if_built,577,87,44,44,identity,-7.214240042155806e-06,-8.061947311869088e-06,8.477072697132827e-07,0,2,0,2,-2.7549574016448628e-05
115,pair592_tile086_src032_act032_identity,pose_toxic,False,changes_c102_action_stream_if_built,592,86,32,32,identity,-7.53629625128263e-06,-7.960154736777677e-06,4.2385848549504623e-07,0,2,0,2,-2.7464844826957696e-05
116,pair535_tile088_src104_act100_amp_shift_-2,pose_toxic,False,changes_c102_action_stream_if_built,535,88,104,100,amp_shift_-2,-8.147232632259527e-06,-7.299525362546244e-06,-8.477072697132826e-07,0,1,0,0,-7.299525362546244e-06
117,pair522_tile088_src088_act088_identity,pose_toxic,False,changes_c102_action_stream_if_built,522,88,88,88,identity,-8.505166199810368e-06,-9.070310847137115e-06,5.651446473267464e-07,0,2,0,2,-3.8820302757698887e-05
118,pair522_tile139_src092_act092_identity,pose_toxic,False,changes_c102_action_stream_if_built,522,139,92,92,identity,-8.505166199810368e-06,-9.070310847137115e-06,5.651446473267464e-07,0,2,0,2,-3.8820302757698887e-05
119,pair522_tile140_src080_act080_identity,pose_toxic,False,changes_c102_action_stream_if_built,522,140,80,80,identity,-8.505166199810368e-06,-9.070310847137115e-06,5.651446473267464e-07,0,2,0,2,-3.8820302757698887e-05
120,pair519_tile089_src042_act042_identity,pose_toxic,False,changes_c102_action_stream_if_built,519,89,42,42,identity,-9.1631701358416e-06,-2.381492575581692e-06,-6.7816775602599075e-06,0,1,0,0,-2.381492575581692e-06
121,pair519_tile089_src044_act040_amp_shift_-2,pose_toxic,False,changes_c102_action_stream_if_built,519,89,44,40,amp_shift_-2,-9.213425117566835e-06,-2.431747557306928e-06,-6.7816775602599075e-06,0,1,0,0,-2.431747557306928e-06
