rank,atom_id,classification,dispatchable_atom,pair_index,tile_id,source_action_id,action_id,transform,mean_weighted_combined_equal_share,mean_weighted_pose_equal_share,mean_weighted_seg_equal_share,component_positive_votes,pose_toxic_votes,pose_positive_votes,seg_positive_votes,worst_pose_delta_vs_c091
15,pair132_tile086_src044_act044_identity,component_positive_pose_safe,True,132,86,44,44,identity,3.049609995248287e-06,2.2019027255350043e-06,8.477072697132826e-07,2,0,2,2,0.0
16,pair444_tile089_src021_act021_identity,component_positive_pose_safe,True,444,89,21,21,identity,2.786933509533856e-06,2.786933509533856e-06,0.0,2,0,2,0,0.0
17,pair439_tile089_src107_act107_identity,component_positive_pose_safe,True,439,89,107,107,identity,2.6109022811197094e-06,2.6109022811197094e-06,0.0,2,0,2,0,0.0
18,pair119_tile086_src044_act044_identity,component_positive_pose_safe,True,119,86,44,44,identity,2.5327259058950946e-06,2.5327259058950946e-06,0.0,6,0,6,0,0.0
19,pair523_tile087_src055_act055_identity,component_positive_pose_safe,True,523,87,55,55,identity,2.5037669242234307e-06,1.6560548038717364e-06,8.477121203516943e-07,2,0,2,2,0.0
20,pair523_tile131_src088_act088_identity,component_positive_pose_safe,True,523,131,88,88,identity,2.5037669242234307e-06,1.6560548038717364e-06,8.477121203516943e-07,2,0,2,2,0.0
21,pair347_tile098_src009_act009_identity,component_positive_pose_safe,True,347,98,9,9,identity,2.4857659262808146e-06,2.4857659262808146e-06,0.0,1,0,1,0,0.0
22,pair347_tile098_src011_act009_amp_shift_-1,component_positive_pose_safe,True,347,98,11,9,amp_shift_-1,2.475602082454686e-06,2.475602082454686e-06,0.0,1,0,1,0,0.0
23,pair546_tile088_src040_act040_identity,component_positive_pose_safe,True,546,88,40,40,identity,2.4195954342181447e-06,2.4195954342181447e-06,0.0,1,0,1,0,0.0
24,pair531_tile088_src018_act018_identity,component_positive_pose_safe,True,531,88,18,18,identity,2.2635087101829596e-06,3.1112256811730656e-06,-8.47716970990106e-07,6,0,6,0,0.0
25,pair531_tile088_src016_act016_identity,component_positive_pose_safe,True,531,88,16,16,identity,2.2446405277483145e-06,3.0923574987384205e-06,-8.47716970990106e-07,1,0,1,0,0.0
26,pair531_tile088_src018_act016_amp_shift_-1,component_positive_pose_safe,True,531,88,18,16,amp_shift_-1,2.2295025806610974e-06,3.0772195516512034e-06,-8.47716970990106e-07,1,0,1,0,0.0
27,pair132_tile086_src046_act046_identity,component_positive_pose_safe,True,132,86,46,46,identity,2.226818045608938e-06,1.3791107758956557e-06,8.477072697132826e-07,3,0,3,3,0.0
28,pair490_tile089_src071_act071_identity,component_positive_pose_safe,True,490,89,71,71,identity,2.222806813151526e-06,2.222806813151526e-06,0.0,2,0,2,0,0.0
29,pair517_tile113_src051_act051_identity,component_positive_pose_safe,True,517,113,51,51,identity,2.0004441990870994e-06,9.927842906561628e-07,1.0076599084309364e-06,8,0,8,8,0.0
30,pair124_tile086_src006_act006_identity,component_positive_pose_safe,True,124,86,6,6,identity,1.918856819706952e-06,1.918856819706952e-06,0.0,2,0,2,0,0.0
31,pair517_tile096_src066_act066_identity,component_positive_pose_safe,True,517,96,66,66,identity,1.912737330596384e-06,6.411715753880552e-07,1.2715657552083288e-06,2,0,2,2,0.0
32,pair049_tile090_src079_act079_identity,component_positive_pose_safe,True,49,90,79,79,identity,1.8854904750614002e-06,1.0377832053481174e-06,8.477072697132826e-07,4,0,4,4,0.0
33,pair158_tile086_src090_act090_identity,component_positive_pose_safe,True,158,86,90,90,identity,1.843307673890606e-06,1.843307673890606e-06,0.0,2,0,2,0,0.0
34,pair522_tile140_src029_act029_identity,component_positive_pose_safe,True,522,140,29,29,identity,1.8118660506188527e-06,1.1643210863861349e-07,1.6954339419802393e-06,5,0,5,5,0.0
35,pair553_tile087_src047_act047_identity,component_positive_pose_safe,True,553,87,47,47,identity,1.7672009043592958e-06,9.194936346460132e-07,8.477072697132826e-07,2,0,2,2,0.0
36,pair553_tile088_src102_act102_identity,component_positive_pose_safe,True,553,88,102,102,identity,1.7672009043592958e-06,9.194936346460132e-07,8.477072697132826e-07,2,0,2,2,0.0
