pair,ep854_delivered_d_pose,pu2_live_d_pose,map_d_pose,map_pose_delta_vs_pu2_live,map_flips_vs_gt,map_flips_vs_live,sub_final_repaired,sub_final_d_pose_after_repair,sub_map_repair_repaired,sub_map_repair_d_pose_after_repair,ep854_k4_best_d_pose,ep854_k4_ratio_vs_bar,ep854_k4_envelope_status,ep854_best_k6_d_pose,ep854_best_k6_source,ep854_best_k8_d_pose,ep854_best_k8_source
85,1.7228822708129883,0.0019188058795407414,0.0026111481711268425,0.0006923422915861011,970,372,False,0.0019188058795407414,False,0.0026111481711268425,,,k4_envelope_not_measured_for_pair,,,,
86,0.2352691888809204,0.0012633127626031637,0.0018161180196329951,0.0005528052570298314,1155,538,False,0.0012633127626031637,False,0.0018161180196329951,,,k4_envelope_not_measured_for_pair,,,,
87,9.186396598815918,0.000632766168564558,0.21107591688632965,0.2104431507177651,1044,502,False,0.000632766168564558,False,0.21107591688632965,,,k4_envelope_not_measured_for_pair,,,,
88,1.7791424989700317,0.0014519387623295188,0.027549484744668007,0.026097545982338488,1164,498,False,0.0014519387623295188,False,0.027549484744668007,,,k4_envelope_not_measured_for_pair,,,,
89,5.513029098510742,0.0009318085503764451,0.05914587154984474,0.0582140629994683,1033,382,False,0.0009318085503764451,False,0.05914587154984474,,,k4_envelope_not_measured_for_pair,,,,
90,21.505002975463867,0.003579898737370968,0.008638591505587101,0.005058692768216133,808,348,True,0.0008285436779260635,False,0.008638591505587101,,,k4_envelope_not_measured_for_pair,,,,
91,14.103754997253418,0.0005512761417776346,0.02585444785654545,0.025303171714767814,1058,448,False,0.0005512761417776346,False,0.02585444785654545,,,k4_envelope_not_measured_for_pair,,,,
92,3.0736567974090576,0.001470976392738521,0.04284217581152916,0.04137119941879064,1074,435,False,0.001470976392738521,False,0.04284217581152916,,,k4_envelope_not_measured_for_pair,,,,
93,0.23623991012573242,0.001533558126538992,0.013358145952224731,0.01182458782568574,1167,481,False,0.001533558126538992,False,0.013358145952224731,,,k4_envelope_not_measured_for_pair,,,,
94,14.391863822937012,0.010857701301574707,0.0663253515958786,0.055467650294303894,980,457,True,0.0005872371839359403,False,0.0663253515958786,,,k4_envelope_not_measured_for_pair,,,,
95,0.4390939772129059,0.0006740402895957232,0.0019089574925601482,0.001234917202964425,1345,603,False,0.0006740402895957232,False,0.0019089574925601482,,,k4_envelope_not_measured_for_pair,,,,
96,91.25275421142578,0.0007406999357044697,0.0009991617407649755,0.00025846180506050587,896,483,False,0.0007406999357044697,False,0.0009991617407649755,,,k4_envelope_not_measured_for_pair,,,,
97,171.07012939453125,0.002352777635678649,0.06408166140317917,0.06172888376750052,1016,540,False,0.002352777635678649,False,0.06408166140317917,,,k4_envelope_not_measured_for_pair,,,,
98,0.2811780869960785,0.0007305119070224464,0.02522355131804943,0.024493039411026984,963,472,False,0.0007305119070224464,False,0.02522355131804943,,,k4_envelope_not_measured_for_pair,,,,
99,2.4008948802948,0.0017047818982973695,0.008693830110132694,0.006989048211835325,1117,563,False,0.0017047818982973695,False,0.008693830110132694,,,k4_envelope_not_measured_for_pair,,,,
100,1.9209932088851929,0.000980889075435698,0.16677682101726532,0.16579593194182962,889,535,False,0.000980889075435698,False,0.16677682101726532,,,k4_envelope_not_measured_for_pair,,,,
101,47.03215408325195,0.0015592467971146107,0.06711427122354507,0.06555502442643046,1133,528,False,0.0015592467971146107,False,0.06711427122354507,,,k4_envelope_not_measured_for_pair,,,,
102,56.824520111083984,0.0015512829413637519,0.003817126154899597,0.0022658432135358453,1132,526,False,0.0015512829413637519,False,0.003817126154899597,,,k4_envelope_not_measured_for_pair,,,,
103,0.8052789568901062,0.0007861836929805577,0.007046289276331663,0.0062601055833511055,1273,618,False,0.0007861836929805577,False,0.007046289276331663,,,k4_envelope_not_measured_for_pair,,,,
104,6.131424427032471,0.0005383116076700389,0.27560102939605713,0.2750627177883871,1196,598,False,0.0005383116076700389,False,0.27560102939605713,,,k4_envelope_not_measured_for_pair,,,,
105,1.6123566627502441,0.0037212753668427467,0.0394551120698452,0.03573383670300245,1203,477,False,0.0037212753668427467,False,0.0394551120698452,,,k4_envelope_not_measured_for_pair,,,,
